/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=356355, episodic_return=[-48.73173272]
global_step=357356, episodic_return=[-10.18360176]
global_step=358357, episodic_return=[107.79406532]
SPS: 860
global_step=359358, episodic_return=[-98.41089653]
global_step=360359, episodic_return=[-45.08434944]
SPS: 860
global_step=361360, episodic_return=[-11.00303304]
global_step=362361, episodic_return=[-8.31270189]
SPS: 860
global_step=363362, episodic_return=[2.69662917]
global_step=364363, episodic_return=[-10.49036068]
SPS: 860
global_step=365364, episodic_return=[7.14201444]
global_step=366365, episodic_return=[-55.16049345]
SPS: 860
global_step=367366, episodic_return=[25.42995233]
global_step=368367, episodic_return=[-20.6913802]
SPS: 860
global_step=369368, episodic_return=[-104.77271612]
global_step=370369, episodic_return=[-71.5155092]
SPS: 860
global_step=371370, episodic_return=[97.18685553]
global_step=372371, episodic_return=[-6.80059504]
SPS: 860
global_step=373372, episodic_return=[-7.34643986]
global_step=374373, episodic_return=[-127.5607798]
SPS: 860
global_step=375374, episodic_return=[-131.79422316]
global_step=376375, episodic_return=[-40.46712344]
SPS: 860
global_step=377376, episodic_return=[-100.1018273]
global_step=378377, episodic_return=[10.52229245]
SPS: 860
global_step=379378, episodic_return=[-40.63299476]
global_step=380379, episodic_return=[77.38197015]
SPS: 860
global_step=381380, episodic_return=[1.64821016]
global_step=382381, episodic_return=[-95.81512548]
SPS: 860
global_step=383382, episodic_return=[78.84044923]
global_step=384383, episodic_return=[101.04084411]
SPS: 860
global_step=385384, episodic_return=[71.48238073]
global_step=386385, episodic_return=[96.9755307]
SPS: 860
global_step=387386, episodic_return=[64.5687481]
global_step=388387, episodic_return=[-6.96599918]
SPS: 860
global_step=389388, episodic_return=[19.522586]
global_step=390389, episodic_return=[5.98089715]
SPS: 860
global_step=391390, episodic_return=[-426.1160206]
global_step=392391, episodic_return=[65.69933522]
SPS: 860
global_step=393392, episodic_return=[42.02401465]
global_step=394393, episodic_return=[-94.13212438]
SPS: 860
global_step=395394, episodic_return=[92.40887306]
global_step=396395, episodic_return=[12.23125175]
SPS: 860
global_step=397396, episodic_return=[117.61875597]
global_step=398397, episodic_return=[-101.04323707]
SPS: 860
global_step=399398, episodic_return=[-175.83901466]
global_step=400399, episodic_return=[-518.44298369]
global_step=401400, episodic_return=[30.65237598]
SPS: 860
global_step=402401, episodic_return=[-332.58228869]
global_step=403402, episodic_return=[51.96951357]
SPS: 860
global_step=404403, episodic_return=[147.48896436]
global_step=405404, episodic_return=[59.4715128]
SPS: 860
global_step=406405, episodic_return=[101.05057756]
global_step=407406, episodic_return=[-478.67764331]
SPS: 859
global_step=408407, episodic_return=[-88.04416457]
global_step=409408, episodic_return=[-116.53349135]
SPS: 859
global_step=410409, episodic_return=[-437.15181543]
global_step=411410, episodic_return=[-29.30818346]
SPS: 859
global_step=412411, episodic_return=[-177.01409106]
global_step=413412, episodic_return=[54.74595335]
SPS: 859
global_step=414413, episodic_return=[71.4563398]
global_step=415414, episodic_return=[-159.09891884]
SPS: 859
global_step=416415, episodic_return=[12.07213134]
global_step=417416, episodic_return=[27.09673755]
SPS: 859
global_step=418417, episodic_return=[46.85895203]
global_step=419418, episodic_return=[-322.66052661]
SPS: 859
global_step=420419, episodic_return=[-70.5687708]
global_step=421420, episodic_return=[1.27798071]
SPS: 859
global_step=422421, episodic_return=[-48.27623422]
global_step=423422, episodic_return=[79.96557524]
SPS: 859
global_step=424423, episodic_return=[-33.05867285]
global_step=425424, episodic_return=[81.02598543]
SPS: 859
global_step=426425, episodic_return=[-98.02088219]
global_step=427426, episodic_return=[-91.07488664]
SPS: 859
global_step=428427, episodic_return=[-485.41455576]
global_step=429428, episodic_return=[129.04149216]
SPS: 859
global_step=430429, episodic_return=[-50.10001754]
global_step=431430, episodic_return=[101.92559921]
SPS: 860
global_step=432431, episodic_return=[111.0146467]
global_step=433432, episodic_return=[72.13381621]
SPS: 860
global_step=434433, episodic_return=[94.28604816]
global_step=435434, episodic_return=[124.5327657]
SPS: 860
global_step=436435, episodic_return=[98.31027584]
global_step=437436, episodic_return=[30.50539354]
SPS: 859
global_step=438437, episodic_return=[134.28719458]
global_step=439438, episodic_return=[53.67354997]
SPS: 859
global_step=440439, episodic_return=[131.52153241]
global_step=441440, episodic_return=[130.01371876]
SPS: 859
global_step=442441, episodic_return=[152.83841145]
global_step=443442, episodic_return=[87.51574139]
SPS: 859
global_step=444443, episodic_return=[74.26469511]
global_step=445444, episodic_return=[194.61973212]
global_step=446445, episodic_return=[-354.5352143]
SPS: 859
global_step=447446, episodic_return=[49.04067751]
global_step=448447, episodic_return=[-141.94922857]
SPS: 859
global_step=449448, episodic_return=[104.00395437]
global_step=450449, episodic_return=[-106.52098635]
SPS: 859
global_step=451450, episodic_return=[88.84586842]
global_step=452451, episodic_return=[69.88847668]
SPS: 859
global_step=453452, episodic_return=[-76.51991257]
global_step=454453, episodic_return=[-393.23574956]
SPS: 859
global_step=455454, episodic_return=[-70.02215089]
global_step=456455, episodic_return=[-52.66457418]
SPS: 859
global_step=457456, episodic_return=[-35.16340827]
global_step=458457, episodic_return=[84.43728077]
SPS: 859
global_step=459458, episodic_return=[84.146962]
global_step=460459, episodic_return=[-48.08319886]
SPS: 859
global_step=461460, episodic_return=[85.63498766]
global_step=462461, episodic_return=[88.49879949]
SPS: 859
global_step=463462, episodic_return=[172.23529452]
global_step=464463, episodic_return=[149.10937515]
