/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
SPS: 715
global_step=330329, episodic_return=[-187.60593701]
global_step=331330, episodic_return=[-303.57937287]
SPS: 715
global_step=332331, episodic_return=[-416.27236302]
global_step=333332, episodic_return=[-413.61686968]
SPS: 715
global_step=334333, episodic_return=[-344.66233809]
global_step=335334, episodic_return=[-353.63323321]
SPS: 715
global_step=336335, episodic_return=[-371.30080568]
global_step=337336, episodic_return=[-340.79273695]
SPS: 715
global_step=338337, episodic_return=[-506.51105503]
global_step=339338, episodic_return=[-348.16200811]
SPS: 715
global_step=340339, episodic_return=[-359.17111281]
global_step=341340, episodic_return=[-299.76048515]
SPS: 715
global_step=342341, episodic_return=[-282.08889534]
global_step=343342, episodic_return=[-354.67670385]
SPS: 716
global_step=344343, episodic_return=[-311.91497999]
global_step=345344, episodic_return=[-278.34118559]
SPS: 716
global_step=346345, episodic_return=[-322.69449285]
global_step=347346, episodic_return=[-264.34148644]
SPS: 716
global_step=348347, episodic_return=[-300.76590004]
global_step=349348, episodic_return=[-418.22949426]
SPS: 716
global_step=350349, episodic_return=[-292.64061265]
global_step=351350, episodic_return=[-322.87063695]
SPS: 716
global_step=352351, episodic_return=[-386.91205338]
global_step=353352, episodic_return=[-343.44594126]
SPS: 716
global_step=354353, episodic_return=[-327.69892861]
global_step=355354, episodic_return=[-425.61733382]
SPS: 716
global_step=356355, episodic_return=[-340.2063818]
global_step=357356, episodic_return=[-486.78324674]
global_step=358357, episodic_return=[-381.3293973]
SPS: 716
global_step=359358, episodic_return=[-343.76707103]
global_step=360359, episodic_return=[-359.58699705]
SPS: 716
global_step=361360, episodic_return=[-253.54715046]
global_step=362361, episodic_return=[-317.45509259]
SPS: 716
global_step=363362, episodic_return=[-370.46804304]
global_step=364363, episodic_return=[-323.97636266]
SPS: 716
global_step=365364, episodic_return=[-343.52152851]
global_step=366365, episodic_return=[-221.53198001]
SPS: 716
global_step=367366, episodic_return=[-322.97269244]
global_step=368367, episodic_return=[-433.77591333]
SPS: 716
global_step=369368, episodic_return=[-323.69444852]
global_step=370369, episodic_return=[-315.40084656]
SPS: 716
global_step=371370, episodic_return=[-271.23204136]
global_step=372371, episodic_return=[-478.65165721]
SPS: 716
global_step=373372, episodic_return=[-293.11195452]
global_step=374373, episodic_return=[-303.73871284]
SPS: 716
global_step=375374, episodic_return=[-319.26757722]
global_step=376375, episodic_return=[-255.99993449]
SPS: 716
global_step=377376, episodic_return=[-516.20905664]
global_step=378377, episodic_return=[-338.40174983]
SPS: 716
global_step=379378, episodic_return=[-190.66704029]
global_step=380379, episodic_return=[-370.41257407]
SPS: 716
global_step=381380, episodic_return=[-347.43229232]
global_step=382381, episodic_return=[-201.80089722]
SPS: 716
global_step=383382, episodic_return=[-263.63476879]
global_step=384383, episodic_return=[-360.38403805]
SPS: 716
global_step=385384, episodic_return=[-364.5409161]
global_step=386385, episodic_return=[-190.3003546]
SPS: 716
global_step=387386, episodic_return=[-177.32069914]
global_step=388387, episodic_return=[-360.65737908]
SPS: 716
global_step=389388, episodic_return=[-365.1959279]
global_step=390389, episodic_return=[-314.00202665]
SPS: 716
global_step=391390, episodic_return=[-318.41247996]
global_step=392391, episodic_return=[-324.39984616]
SPS: 716
global_step=393392, episodic_return=[-345.59984665]
global_step=394393, episodic_return=[-120.4850625]
SPS: 716
global_step=395394, episodic_return=[-293.91942166]
global_step=396395, episodic_return=[-389.90397974]
SPS: 716
global_step=397396, episodic_return=[-346.32074668]
global_step=398397, episodic_return=[-240.17495644]
SPS: 716
global_step=399398, episodic_return=[-388.16163603]
global_step=400399, episodic_return=[-347.34211586]
global_step=401400, episodic_return=[-213.32662208]
SPS: 716
global_step=402401, episodic_return=[-435.4199346]
