/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
SPS: 798
global_step=338337, episodic_return=[825.4161692]
global_step=339338, episodic_return=[766.67489425]
SPS: 799
global_step=340339, episodic_return=[841.92257347]
global_step=341340, episodic_return=[685.27706255]
SPS: 799
global_step=342341, episodic_return=[909.6090538]
global_step=343342, episodic_return=[877.61358735]
SPS: 799
global_step=344343, episodic_return=[868.57051831]
global_step=345344, episodic_return=[874.00585857]
SPS: 799
global_step=346345, episodic_return=[655.44357369]
global_step=347346, episodic_return=[803.53409301]
SPS: 800
global_step=348347, episodic_return=[918.29527296]
global_step=349348, episodic_return=[895.75970892]
SPS: 800
global_step=350349, episodic_return=[837.37605984]
global_step=351350, episodic_return=[945.98538368]
SPS: 800
global_step=352351, episodic_return=[949.99209829]
global_step=353352, episodic_return=[971.01719377]
SPS: 800
global_step=354353, episodic_return=[927.10405768]
global_step=355354, episodic_return=[-431.38284763]
SPS: 801
global_step=356355, episodic_return=[898.00012478]
global_step=357356, episodic_return=[939.67563744]
global_step=358357, episodic_return=[877.69468256]
SPS: 801
global_step=359358, episodic_return=[848.85845305]
global_step=360359, episodic_return=[892.32820799]
SPS: 801
global_step=361360, episodic_return=[973.58383092]
global_step=362361, episodic_return=[901.84399892]
SPS: 801
global_step=363362, episodic_return=[975.77038593]
global_step=364363, episodic_return=[949.50095001]
SPS: 802
global_step=365364, episodic_return=[854.02254872]
global_step=366365, episodic_return=[873.34538055]
SPS: 802
global_step=367366, episodic_return=[848.11050323]
global_step=368367, episodic_return=[898.03008928]
SPS: 802
global_step=369368, episodic_return=[870.7106042]
global_step=370369, episodic_return=[873.03335933]
SPS: 802
global_step=371370, episodic_return=[895.72790467]
global_step=372371, episodic_return=[905.40731037]
SPS: 803
global_step=373372, episodic_return=[859.0286886]
global_step=374373, episodic_return=[764.07855408]
SPS: 803
global_step=375374, episodic_return=[856.33162096]
global_step=376375, episodic_return=[908.15790551]
SPS: 803
global_step=377376, episodic_return=[831.89857421]
global_step=378377, episodic_return=[900.68899778]
SPS: 803
global_step=379378, episodic_return=[958.22671295]
global_step=380379, episodic_return=[912.10398428]
SPS: 803
global_step=381380, episodic_return=[853.78368814]
global_step=382381, episodic_return=[894.13412558]
SPS: 803
global_step=383382, episodic_return=[716.68871947]
global_step=384383, episodic_return=[928.21447225]
SPS: 803
global_step=385384, episodic_return=[920.29610717]
global_step=386385, episodic_return=[-430.19985264]
SPS: 803
global_step=387386, episodic_return=[914.32024164]
global_step=388387, episodic_return=[916.81462526]
SPS: 804
global_step=389388, episodic_return=[926.43102429]
global_step=390389, episodic_return=[851.94778285]
SPS: 804
global_step=391390, episodic_return=[879.90987278]
global_step=392391, episodic_return=[813.8901247]
SPS: 804
global_step=393392, episodic_return=[930.57359154]
global_step=394393, episodic_return=[864.86842116]
SPS: 804
global_step=395394, episodic_return=[855.24496484]
global_step=396395, episodic_return=[935.5732478]
SPS: 804
global_step=397396, episodic_return=[963.43968302]
global_step=398397, episodic_return=[884.50126049]
SPS: 805
global_step=399398, episodic_return=[860.56990232]
global_step=400399, episodic_return=[903.26501599]
global_step=401400, episodic_return=[824.3993282]
SPS: 805
global_step=402401, episodic_return=[902.17192556]
global_step=403402, episodic_return=[935.41684395]
SPS: 805
global_step=404403, episodic_return=[871.08915529]
global_step=405404, episodic_return=[897.55436205]
SPS: 805
global_step=406405, episodic_return=[852.34329765]
global_step=407406, episodic_return=[982.8791141]
SPS: 805
global_step=408407, episodic_return=[912.76531562]
global_step=409408, episodic_return=[919.94434177]
SPS: 805
global_step=410409, episodic_return=[904.78196816]
global_step=411410, episodic_return=[947.1055516]
SPS: 805
global_step=412411, episodic_return=[913.80348934]
global_step=413412, episodic_return=[958.7970107]
SPS: 805
global_step=414413, episodic_return=[907.18689345]
