/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=407406, episodic_return=[-256.53395465]
SPS: 719
global_step=408407, episodic_return=[-264.22080316]
global_step=409408, episodic_return=[-201.67536619]
SPS: 719
global_step=410409, episodic_return=[-312.92869958]
global_step=411410, episodic_return=[-277.4012505]
SPS: 719
global_step=412411, episodic_return=[-232.57431693]
global_step=413412, episodic_return=[-277.81562523]
SPS: 719
global_step=414413, episodic_return=[-240.3754321]
global_step=415414, episodic_return=[-286.04159759]
SPS: 719
global_step=416415, episodic_return=[-179.66695279]
global_step=417416, episodic_return=[-367.72700696]
SPS: 719
global_step=418417, episodic_return=[-386.09449527]
global_step=419418, episodic_return=[-333.20342201]
SPS: 719
global_step=420419, episodic_return=[-223.3250479]
global_step=421420, episodic_return=[-254.47640617]
SPS: 718
global_step=422421, episodic_return=[-213.78044492]
global_step=423422, episodic_return=[-243.31791509]
SPS: 718
global_step=424423, episodic_return=[-225.99054419]
global_step=425424, episodic_return=[-278.97333946]
SPS: 718
global_step=426425, episodic_return=[-227.08711241]
global_step=427426, episodic_return=[-403.54961004]
SPS: 718
global_step=428427, episodic_return=[-283.52774311]
global_step=429428, episodic_return=[-350.25280104]
SPS: 719
global_step=430429, episodic_return=[-264.9893114]
global_step=431430, episodic_return=[-190.67970235]
SPS: 719
global_step=432431, episodic_return=[-255.35404844]
global_step=433432, episodic_return=[-245.9456505]
SPS: 719
global_step=434433, episodic_return=[-265.30113878]
global_step=435434, episodic_return=[-232.39856495]
SPS: 719
global_step=436435, episodic_return=[-240.03761118]
global_step=437436, episodic_return=[-250.45159917]
SPS: 719
global_step=438437, episodic_return=[-386.21902706]
global_step=439438, episodic_return=[-185.31721621]
SPS: 719
global_step=440439, episodic_return=[-297.23004853]
global_step=441440, episodic_return=[-224.11247707]
SPS: 719
global_step=442441, episodic_return=[-157.69948775]
global_step=443442, episodic_return=[-299.59258204]
SPS: 719
global_step=444443, episodic_return=[-184.74739109]
global_step=445444, episodic_return=[-258.318431]
global_step=446445, episodic_return=[-313.06714397]
SPS: 719
global_step=447446, episodic_return=[-215.25928209]
global_step=448447, episodic_return=[-198.13507921]
SPS: 719
global_step=449448, episodic_return=[-245.98058898]
global_step=450449, episodic_return=[-179.23822194]
SPS: 719
global_step=451450, episodic_return=[-242.17188636]
global_step=452451, episodic_return=[-282.03293111]
SPS: 719
global_step=453452, episodic_return=[-256.75422256]
global_step=454453, episodic_return=[-414.49232657]
SPS: 719
global_step=455454, episodic_return=[-219.07736011]
global_step=456455, episodic_return=[-424.71488457]
SPS: 719
global_step=457456, episodic_return=[-227.2851704]
global_step=458457, episodic_return=[-187.84768723]
SPS: 719
global_step=459458, episodic_return=[-269.16891169]
global_step=460459, episodic_return=[-295.34821302]
SPS: 719
global_step=461460, episodic_return=[-264.67275619]
global_step=462461, episodic_return=[-246.05312519]
SPS: 719
global_step=463462, episodic_return=[-217.62174881]
global_step=464463, episodic_return=[-484.22523602]
SPS: 719
global_step=465464, episodic_return=[-308.87158051]
global_step=466465, episodic_return=[-256.52817996]
SPS: 719
global_step=467466, episodic_return=[-338.51414825]
global_step=468467, episodic_return=[-284.44561427]
SPS: 719
global_step=469468, episodic_return=[-282.4922878]
global_step=470469, episodic_return=[-319.27563932]
SPS: 719
global_step=471470, episodic_return=[-225.70748249]
global_step=472471, episodic_return=[-210.22429574]
SPS: 719
global_step=473472, episodic_return=[-278.56017954]
global_step=474473, episodic_return=[-221.39230045]
