/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=403402, episodic_return=[-197.21539331]
SPS: 736
global_step=404403, episodic_return=[-212.24440983]
global_step=405404, episodic_return=[-130.11006448]
SPS: 736
global_step=406405, episodic_return=[-104.55998138]
global_step=407406, episodic_return=[-178.38120136]
SPS: 736
global_step=408407, episodic_return=[-129.4322223]
global_step=409408, episodic_return=[-131.18210754]
SPS: 736
global_step=410409, episodic_return=[-151.15202466]
global_step=411410, episodic_return=[-318.15885689]
SPS: 735
global_step=412411, episodic_return=[-310.27390599]
global_step=413412, episodic_return=[-198.34207122]
SPS: 735
global_step=414413, episodic_return=[-103.48937332]
global_step=415414, episodic_return=[-135.85120502]
SPS: 735
global_step=416415, episodic_return=[-158.47743804]
global_step=417416, episodic_return=[-178.10814627]
SPS: 735
global_step=418417, episodic_return=[-228.27563323]
global_step=419418, episodic_return=[-163.99657481]
SPS: 735
global_step=420419, episodic_return=[-205.06909086]
global_step=421420, episodic_return=[-87.32480983]
SPS: 735
global_step=422421, episodic_return=[-163.8555992]
global_step=423422, episodic_return=[-145.47551256]
SPS: 735
global_step=424423, episodic_return=[-87.32680638]
global_step=425424, episodic_return=[-154.3042609]
SPS: 735
global_step=426425, episodic_return=[-158.8354805]
global_step=427426, episodic_return=[-176.535387]
SPS: 735
global_step=428427, episodic_return=[-111.71301125]
global_step=429428, episodic_return=[-150.12740619]
SPS: 735
global_step=430429, episodic_return=[-95.33539382]
global_step=431430, episodic_return=[-75.06517459]
SPS: 734
global_step=432431, episodic_return=[-183.68550412]
global_step=433432, episodic_return=[-36.42395354]
SPS: 734
global_step=434433, episodic_return=[-105.31632013]
global_step=435434, episodic_return=[-92.42477796]
SPS: 735
global_step=436435, episodic_return=[-149.75515402]
global_step=437436, episodic_return=[-37.09267455]
SPS: 735
global_step=438437, episodic_return=[-83.33117593]
global_step=439438, episodic_return=[-113.67932848]
SPS: 735
global_step=440439, episodic_return=[-99.84964638]
global_step=441440, episodic_return=[-108.5378064]
SPS: 735
global_step=442441, episodic_return=[-86.9198867]
global_step=443442, episodic_return=[-89.31981181]
SPS: 735
global_step=444443, episodic_return=[-79.65851363]
global_step=445444, episodic_return=[-187.46884002]
global_step=446445, episodic_return=[-88.91431032]
SPS: 735
global_step=447446, episodic_return=[-94.6963816]
global_step=448447, episodic_return=[-137.11197094]
SPS: 735
global_step=449448, episodic_return=[-54.73625142]
global_step=450449, episodic_return=[-85.89312924]
SPS: 735
