/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=273272, episodic_return=[821.10034893]
global_step=274273, episodic_return=[715.52844511]
SPS: 740
global_step=275274, episodic_return=[755.17523894]
global_step=276275, episodic_return=[738.83017195]
SPS: 740
global_step=277276, episodic_return=[758.81799999]
global_step=278277, episodic_return=[810.92036874]
SPS: 740
global_step=279278, episodic_return=[774.37375382]
global_step=280279, episodic_return=[577.40252503]
SPS: 740
global_step=281280, episodic_return=[686.9394763]
global_step=282281, episodic_return=[657.21452836]
SPS: 740
global_step=283282, episodic_return=[758.28999905]
global_step=284283, episodic_return=[799.97164586]
SPS: 740
global_step=285284, episodic_return=[768.15692688]
global_step=286285, episodic_return=[845.54866237]
SPS: 740
global_step=287286, episodic_return=[775.65451909]
global_step=288287, episodic_return=[849.67706064]
SPS: 740
global_step=289288, episodic_return=[796.43528972]
global_step=290289, episodic_return=[848.2985965]
SPS: 740
global_step=291290, episodic_return=[729.17894862]
global_step=292291, episodic_return=[633.72998483]
SPS: 740
global_step=293292, episodic_return=[890.34107391]
global_step=294293, episodic_return=[835.19412706]
SPS: 740
global_step=295294, episodic_return=[749.01087293]
global_step=296295, episodic_return=[667.85172635]
SPS: 740
global_step=297296, episodic_return=[851.59915884]
global_step=298297, episodic_return=[853.64240277]
SPS: 740
global_step=299298, episodic_return=[785.95236376]
global_step=300299, episodic_return=[864.81181462]
SPS: 740
global_step=301300, episodic_return=[894.75981501]
global_step=302301, episodic_return=[905.20295711]
SPS: 740
global_step=303302, episodic_return=[818.1897776]
global_step=304303, episodic_return=[782.40703582]
SPS: 739
global_step=305304, episodic_return=[773.78829391]
global_step=306305, episodic_return=[912.96580468]
SPS: 739
global_step=307306, episodic_return=[839.8054755]
global_step=308307, episodic_return=[864.65245182]
SPS: 740
global_step=309308, episodic_return=[770.98852467]
global_step=310309, episodic_return=[850.12175715]
SPS: 740
global_step=311310, episodic_return=[803.19211579]
global_step=312311, episodic_return=[691.13411069]
global_step=313312, episodic_return=[952.95028738]
SPS: 740
global_step=314313, episodic_return=[734.88756119]
global_step=315314, episodic_return=[901.48957977]
SPS: 739
global_step=316315, episodic_return=[798.15712196]
global_step=317316, episodic_return=[819.70705741]
SPS: 739
global_step=318317, episodic_return=[899.99903911]
global_step=319318, episodic_return=[891.19426806]
SPS: 739
global_step=320319, episodic_return=[772.77149013]
global_step=321320, episodic_return=[855.72322242]
SPS: 740
global_step=322321, episodic_return=[911.354096]
global_step=323322, episodic_return=[823.38249547]
SPS: 740
global_step=324323, episodic_return=[859.87994282]
global_step=325324, episodic_return=[884.00354503]
SPS: 740
global_step=326325, episodic_return=[855.97848412]
global_step=327326, episodic_return=[927.48792642]
SPS: 740
global_step=328327, episodic_return=[864.98637963]
global_step=329328, episodic_return=[896.6862218]
SPS: 740
global_step=330329, episodic_return=[967.41020808]
global_step=331330, episodic_return=[795.57468305]
SPS: 740
global_step=332331, episodic_return=[904.37811432]
global_step=333332, episodic_return=[886.91303352]
SPS: 740
global_step=334333, episodic_return=[836.37286386]
global_step=335334, episodic_return=[777.99913434]
SPS: 740
global_step=336335, episodic_return=[872.09175331]
global_step=337336, episodic_return=[839.25834946]
SPS: 740
global_step=338337, episodic_return=[815.14898569]
global_step=339338, episodic_return=[951.68977026]
SPS: 740
global_step=340339, episodic_return=[911.08015946]
global_step=341340, episodic_return=[873.02870948]
SPS: 740
global_step=342341, episodic_return=[680.03761296]
global_step=343342, episodic_return=[935.61103459]
SPS: 740
global_step=344343, episodic_return=[881.49129769]
global_step=345344, episodic_return=[842.89942301]
SPS: 740
global_step=346345, episodic_return=[832.54400603]
global_step=347346, episodic_return=[580.56247884]
SPS: 740
global_step=348347, episodic_return=[418.89372244]
global_step=349348, episodic_return=[934.46804807]
SPS: 740
global_step=350349, episodic_return=[664.32891793]
global_step=351350, episodic_return=[952.67967417]
SPS: 740
global_step=352351, episodic_return=[956.53164202]
global_step=353352, episodic_return=[963.0850862]
SPS: 740
global_step=354353, episodic_return=[980.98481667]
global_step=355354, episodic_return=[858.96581808]
SPS: 740
global_step=356355, episodic_return=[689.62490886]
global_step=357356, episodic_return=[970.05934937]
global_step=358357, episodic_return=[810.96672552]
SPS: 740
global_step=359358, episodic_return=[911.50852492]
global_step=360359, episodic_return=[896.65953893]
SPS: 740
global_step=361360, episodic_return=[870.13615346]
global_step=362361, episodic_return=[828.80063661]
SPS: 740
global_step=363362, episodic_return=[974.45556214]
global_step=364363, episodic_return=[885.85352793]
SPS: 740
global_step=365364, episodic_return=[743.85559919]
global_step=366365, episodic_return=[716.04569395]
SPS: 740
global_step=367366, episodic_return=[904.52699137]
global_step=368367, episodic_return=[945.73184405]
SPS: 740
global_step=369368, episodic_return=[910.29662349]
global_step=370369, episodic_return=[848.40516868]
SPS: 740
global_step=371370, episodic_return=[895.0738918]
global_step=372371, episodic_return=[868.39859086]
SPS: 740
global_step=373372, episodic_return=[939.64410417]
global_step=374373, episodic_return=[922.67253938]
SPS: 740
global_step=375374, episodic_return=[583.41999976]
global_step=376375, episodic_return=[921.01837161]
SPS: 740
global_step=377376, episodic_return=[936.09803671]
global_step=378377, episodic_return=[806.22932182]
SPS: 740
global_step=379378, episodic_return=[961.06614268]
global_step=380379, episodic_return=[713.70785957]
SPS: 740
global_step=381380, episodic_return=[917.803375]
global_step=382381, episodic_return=[951.29120768]
SPS: 740
global_step=383382, episodic_return=[949.52438203]
global_step=384383, episodic_return=[942.76888415]
SPS: 740
global_step=385384, episodic_return=[915.65998363]
global_step=386385, episodic_return=[785.54974769]
SPS: 740
global_step=387386, episodic_return=[903.61329239]
global_step=388387, episodic_return=[817.07166022]
SPS: 741
global_step=389388, episodic_return=[813.24342903]
global_step=390389, episodic_return=[856.89661002]
SPS: 741
global_step=391390, episodic_return=[893.68876242]
global_step=392391, episodic_return=[922.9579526]
SPS: 741
global_step=393392, episodic_return=[944.358278]
global_step=394393, episodic_return=[965.98200643]
SPS: 741
global_step=395394, episodic_return=[698.9695827]
global_step=396395, episodic_return=[835.55626681]
SPS: 741
global_step=397396, episodic_return=[782.5082129]
global_step=398397, episodic_return=[1007.46064359]
SPS: 741
global_step=399398, episodic_return=[827.74407311]
global_step=400399, episodic_return=[878.35351227]
global_step=401400, episodic_return=[841.30699493]
SPS: 741
global_step=402401, episodic_return=[955.519105]
global_step=403402, episodic_return=[976.74505598]
SPS: 741
global_step=404403, episodic_return=[891.42910734]
global_step=405404, episodic_return=[983.83205665]
SPS: 741
global_step=406405, episodic_return=[833.73834722]
global_step=407406, episodic_return=[989.5500778]
SPS: 741
global_step=408407, episodic_return=[694.75449244]
global_step=409408, episodic_return=[1003.62949405]
SPS: 741
global_step=410409, episodic_return=[990.71132653]
global_step=411410, episodic_return=[750.93772341]
SPS: 741
global_step=412411, episodic_return=[910.49817944]
global_step=413412, episodic_return=[761.99228376]
SPS: 741
global_step=414413, episodic_return=[867.36721112]
global_step=415414, episodic_return=[959.00918395]
SPS: 742
global_step=416415, episodic_return=[928.26108527]
global_step=417416, episodic_return=[923.20813274]
SPS: 742
global_step=418417, episodic_return=[987.39726364]
global_step=419418, episodic_return=[1002.12558184]
SPS: 742
global_step=420419, episodic_return=[868.81302018]
global_step=421420, episodic_return=[975.37381489]
SPS: 742
global_step=422421, episodic_return=[918.3207847]
global_step=423422, episodic_return=[935.1370731]
SPS: 742
global_step=424423, episodic_return=[930.75670693]
global_step=425424, episodic_return=[906.13417511]
SPS: 742
global_step=426425, episodic_return=[902.05387533]
global_step=427426, episodic_return=[851.78494424]
SPS: 742
global_step=428427, episodic_return=[830.38969176]
global_step=429428, episodic_return=[804.6393344]
SPS: 742
global_step=430429, episodic_return=[851.23634856]
global_step=431430, episodic_return=[942.48636498]
SPS: 742
global_step=432431, episodic_return=[953.70776013]
global_step=433432, episodic_return=[911.81244104]
SPS: 742
global_step=434433, episodic_return=[922.41590521]
global_step=435434, episodic_return=[988.23761398]
SPS: 742
global_step=436435, episodic_return=[626.70691969]
global_step=437436, episodic_return=[905.55681697]
SPS: 742
global_step=438437, episodic_return=[1010.41280843]
global_step=439438, episodic_return=[1013.76281053]
SPS: 742
global_step=440439, episodic_return=[919.55845731]
global_step=441440, episodic_return=[934.2493123]
SPS: 742
global_step=442441, episodic_return=[978.51591855]
global_step=443442, episodic_return=[917.88682344]
SPS: 742
global_step=444443, episodic_return=[899.4996354]
global_step=445444, episodic_return=[884.13906593]
global_step=446445, episodic_return=[963.92866439]
SPS: 742
global_step=447446, episodic_return=[875.65999418]
global_step=448447, episodic_return=[933.22599226]
SPS: 743
global_step=449448, episodic_return=[1075.16967567]
global_step=450449, episodic_return=[935.97765694]
SPS: 743
global_step=451450, episodic_return=[1009.01944506]
global_step=452451, episodic_return=[921.82846026]
SPS: 743
global_step=453452, episodic_return=[960.21014049]
global_step=454453, episodic_return=[938.59625686]
SPS: 743
global_step=455454, episodic_return=[986.92241569]
global_step=456455, episodic_return=[831.05962954]
SPS: 743
global_step=457456, episodic_return=[962.75708529]
global_step=458457, episodic_return=[911.13292951]
SPS: 743
global_step=459458, episodic_return=[971.20558867]
global_step=460459, episodic_return=[723.67753798]
SPS: 743
global_step=461460, episodic_return=[978.57738935]
global_step=462461, episodic_return=[877.82685073]
SPS: 743
global_step=463462, episodic_return=[938.98730429]
global_step=464463, episodic_return=[1077.06019294]
SPS: 743
global_step=465464, episodic_return=[865.45058106]
global_step=466465, episodic_return=[975.38050802]
SPS: 743
global_step=467466, episodic_return=[916.08062239]
global_step=468467, episodic_return=[1034.2858371]
SPS: 743
global_step=469468, episodic_return=[859.01468643]
global_step=470469, episodic_return=[823.96083261]
SPS: 743
global_step=471470, episodic_return=[954.17329185]
global_step=472471, episodic_return=[962.96902882]
SPS: 743
global_step=473472, episodic_return=[947.79916038]
global_step=474473, episodic_return=[931.64659712]
SPS: 743
global_step=475474, episodic_return=[1012.22616466]
global_step=476475, episodic_return=[847.07389067]
SPS: 743
global_step=477476, episodic_return=[1004.39473118]
global_step=478477, episodic_return=[931.91350093]
SPS: 743
global_step=479478, episodic_return=[990.18424651]
global_step=480479, episodic_return=[926.97543451]
SPS: 743
global_step=481480, episodic_return=[790.5725591]
global_step=482481, episodic_return=[963.5878724]
SPS: 743
global_step=483482, episodic_return=[923.29634733]
global_step=484483, episodic_return=[874.95504181]
SPS: 743
global_step=485484, episodic_return=[963.25818038]
global_step=486485, episodic_return=[952.83287666]
SPS: 743
global_step=487486, episodic_return=[990.53033205]
global_step=488487, episodic_return=[975.8033443]
SPS: 743
global_step=489488, episodic_return=[957.13536282]
global_step=490489, episodic_return=[957.47887768]
global_step=491490, episodic_return=[794.41433015]
SPS: 743
global_step=492491, episodic_return=[968.96087264]
global_step=493492, episodic_return=[884.25312059]
SPS: 743
global_step=494493, episodic_return=[939.53030657]
global_step=495494, episodic_return=[1075.51331597]
SPS: 743
global_step=496495, episodic_return=[994.17643508]
global_step=497496, episodic_return=[971.32763699]
SPS: 743
global_step=498497, episodic_return=[711.55505846]
global_step=499498, episodic_return=[879.47406716]
SPS: 743
global_step=500499, episodic_return=[1025.24252588]
global_step=501500, episodic_return=[1010.50609612]
SPS: 743
global_step=502501, episodic_return=[934.35686351]
global_step=503502, episodic_return=[933.9075071]
SPS: 743
global_step=504503, episodic_return=[961.77077795]
global_step=505504, episodic_return=[947.89239104]
SPS: 743
global_step=506505, episodic_return=[926.95906071]
global_step=507506, episodic_return=[947.34400026]
SPS: 743
global_step=508507, episodic_return=[920.19706725]
global_step=509508, episodic_return=[884.41056732]
SPS: 743
global_step=510509, episodic_return=[789.70792763]
global_step=511510, episodic_return=[987.17044933]
SPS: 743
global_step=512511, episodic_return=[896.22903361]
global_step=513512, episodic_return=[997.06827452]
SPS: 743
global_step=514513, episodic_return=[979.70499734]
global_step=515514, episodic_return=[853.52730353]
SPS: 743
global_step=516515, episodic_return=[966.63129959]
global_step=517516, episodic_return=[914.22745101]
SPS: 743
global_step=518517, episodic_return=[835.93092076]
global_step=519518, episodic_return=[928.94367113]
SPS: 743
global_step=520519, episodic_return=[920.49652471]
global_step=521520, episodic_return=[1000.04228369]
SPS: 743
global_step=522521, episodic_return=[980.64475254]
global_step=523522, episodic_return=[983.39045715]
SPS: 743
global_step=524523, episodic_return=[1021.49696282]
global_step=525524, episodic_return=[1016.53648327]
SPS: 743
global_step=526525, episodic_return=[666.96387975]
global_step=527526, episodic_return=[1019.49615406]
SPS: 743
global_step=528527, episodic_return=[925.92074165]
global_step=529528, episodic_return=[1044.16238288]
SPS: 743
global_step=530529, episodic_return=[1050.42971024]
global_step=531530, episodic_return=[858.22700669]
SPS: 743
global_step=532531, episodic_return=[962.5665639]
global_step=533532, episodic_return=[1008.5152962]
SPS: 743
global_step=534533, episodic_return=[960.09151451]
global_step=535534, episodic_return=[941.73021913]
global_step=536535, episodic_return=[1026.90551352]
SPS: 743
global_step=537536, episodic_return=[1030.48807234]
global_step=538537, episodic_return=[980.10457659]
SPS: 743
global_step=539538, episodic_return=[969.20136277]
global_step=540539, episodic_return=[1035.21512113]
SPS: 743
global_step=541540, episodic_return=[829.86370725]
global_step=542541, episodic_return=[693.19113411]
SPS: 743
global_step=543542, episodic_return=[-174.41381358]
global_step=544543, episodic_return=[942.38855599]
SPS: 743
global_step=545544, episodic_return=[977.76821456]
global_step=546545, episodic_return=[972.75579706]
SPS: 743
global_step=547546, episodic_return=[884.8365338]
global_step=548547, episodic_return=[1010.59823694]
SPS: 743
global_step=549548, episodic_return=[996.95214664]
