/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
SPS: 773
global_step=211210, episodic_return=[-305.68797818]
global_step=212211, episodic_return=[-213.58631203]
SPS: 773
global_step=213212, episodic_return=[-333.61824816]
global_step=214213, episodic_return=[-413.08191987]
SPS: 773
global_step=215214, episodic_return=[-354.21379933]
global_step=216215, episodic_return=[-365.6140688]
SPS: 773
global_step=217216, episodic_return=[-533.0855072]
global_step=218217, episodic_return=[-331.3153359]
SPS: 773
global_step=219218, episodic_return=[-345.75965407]
global_step=220219, episodic_return=[-485.6941764]
SPS: 772
global_step=221220, episodic_return=[-278.58900596]
global_step=222221, episodic_return=[-341.16184629]
global_step=223222, episodic_return=[-280.41891245]
SPS: 772
global_step=224223, episodic_return=[-312.10862386]
global_step=225224, episodic_return=[-439.23583571]
SPS: 773
global_step=226225, episodic_return=[-430.8838958]
global_step=227226, episodic_return=[-294.17528607]
SPS: 773
global_step=228227, episodic_return=[-316.59732654]
global_step=229228, episodic_return=[-331.45581324]
SPS: 773
global_step=230229, episodic_return=[-388.62653202]
global_step=231230, episodic_return=[-299.8373715]
SPS: 773
global_step=232231, episodic_return=[-587.70099954]
global_step=233232, episodic_return=[-332.86130246]
SPS: 772
global_step=234233, episodic_return=[-317.32450461]
global_step=235234, episodic_return=[-374.00901951]
SPS: 772
global_step=236235, episodic_return=[-367.51110309]
global_step=237236, episodic_return=[-304.1347306]
SPS: 772
global_step=238237, episodic_return=[-297.93811933]
global_step=239238, episodic_return=[-271.52833339]
SPS: 772
global_step=240239, episodic_return=[-361.93656211]
global_step=241240, episodic_return=[-337.96047215]
SPS: 772
global_step=242241, episodic_return=[-364.96628609]
global_step=243242, episodic_return=[-331.7730028]
SPS: 772
global_step=244243, episodic_return=[-390.12820317]
global_step=245244, episodic_return=[-498.54065118]
SPS: 773
global_step=246245, episodic_return=[-344.53270102]
global_step=247246, episodic_return=[-324.15419335]
SPS: 773
global_step=248247, episodic_return=[-280.96874815]
global_step=249248, episodic_return=[-375.23575589]
SPS: 773
global_step=250249, episodic_return=[-375.5198384]
global_step=251250, episodic_return=[-290.22559043]
SPS: 772
global_step=252251, episodic_return=[-304.37488382]
global_step=253252, episodic_return=[-422.06283802]
SPS: 772
global_step=254253, episodic_return=[-439.73657751]
global_step=255254, episodic_return=[-386.44904931]
SPS: 773
global_step=256255, episodic_return=[-404.12967045]
global_step=257256, episodic_return=[-321.05451433]
SPS: 773
global_step=258257, episodic_return=[-319.56978835]
global_step=259258, episodic_return=[-315.69741291]
SPS: 773
global_step=260259, episodic_return=[-349.01874519]
global_step=261260, episodic_return=[-346.14207376]
SPS: 773
global_step=262261, episodic_return=[-318.60475772]
global_step=263262, episodic_return=[-374.21546594]
SPS: 773
global_step=264263, episodic_return=[-302.10730571]
global_step=265264, episodic_return=[-261.98586833]
SPS: 773
global_step=266265, episodic_return=[-310.8956969]
global_step=267266, episodic_return=[-376.77410276]
global_step=268267, episodic_return=[-469.2468245]
SPS: 773
global_step=269268, episodic_return=[-331.18891595]
global_step=270269, episodic_return=[-225.04600753]
SPS: 774
global_step=271270, episodic_return=[-394.71302953]
global_step=272271, episodic_return=[-338.760541]
SPS: 774
global_step=273272, episodic_return=[-487.44906915]
global_step=274273, episodic_return=[-246.05055758]
SPS: 774
global_step=275274, episodic_return=[-299.17468682]
global_step=276275, episodic_return=[-318.43643969]
SPS: 774
global_step=277276, episodic_return=[-368.81095524]
global_step=278277, episodic_return=[-258.46524148]
SPS: 774
global_step=279278, episodic_return=[-456.68562285]
global_step=280279, episodic_return=[-399.52035614]
SPS: 774
global_step=281280, episodic_return=[-386.77670217]
global_step=282281, episodic_return=[-342.81249412]
SPS: 774
global_step=283282, episodic_return=[-415.09078223]
global_step=284283, episodic_return=[-334.09981889]
SPS: 774
global_step=285284, episodic_return=[-601.71575767]
global_step=286285, episodic_return=[-556.73335322]
SPS: 774
global_step=287286, episodic_return=[-306.88055483]
global_step=288287, episodic_return=[-398.7982439]
SPS: 774
global_step=289288, episodic_return=[-362.06928931]
global_step=290289, episodic_return=[-326.51603541]
SPS: 774
global_step=291290, episodic_return=[-396.0567412]
global_step=292291, episodic_return=[-328.82223163]
SPS: 774
global_step=293292, episodic_return=[-339.39624265]
global_step=294293, episodic_return=[-280.42670509]
SPS: 774
global_step=295294, episodic_return=[-321.71493844]
global_step=296295, episodic_return=[-275.06571168]
SPS: 774
global_step=297296, episodic_return=[-400.00660216]
global_step=298297, episodic_return=[-308.07177518]
SPS: 774
global_step=299298, episodic_return=[-225.09215263]
global_step=300299, episodic_return=[-418.07684346]
SPS: 774
global_step=301300, episodic_return=[-407.52249942]
global_step=302301, episodic_return=[-350.38452071]
SPS: 774
global_step=303302, episodic_return=[-403.76881977]
global_step=304303, episodic_return=[-256.72114227]
SPS: 774
global_step=305304, episodic_return=[-338.58801144]
global_step=306305, episodic_return=[-399.22063255]
SPS: 774
global_step=307306, episodic_return=[-366.31301465]
global_step=308307, episodic_return=[-422.78677833]
SPS: 774
global_step=309308, episodic_return=[-343.03157303]
global_step=310309, episodic_return=[-344.46420554]
SPS: 774
global_step=311310, episodic_return=[-324.18235726]
global_step=312311, episodic_return=[-301.30025165]
global_step=313312, episodic_return=[-395.1572824]
SPS: 774
global_step=314313, episodic_return=[-306.48953929]
global_step=315314, episodic_return=[-260.07198792]
SPS: 774
global_step=316315, episodic_return=[-250.40176068]
global_step=317316, episodic_return=[-267.29855797]
SPS: 774
global_step=318317, episodic_return=[-313.64258126]
global_step=319318, episodic_return=[-473.00099665]
SPS: 774
global_step=320319, episodic_return=[-402.7262103]
global_step=321320, episodic_return=[-347.79877375]
SPS: 774
global_step=322321, episodic_return=[-341.30180783]
global_step=323322, episodic_return=[-430.12499736]
SPS: 774
global_step=324323, episodic_return=[-228.44119031]
global_step=325324, episodic_return=[-341.68901614]
SPS: 775
global_step=326325, episodic_return=[-338.06192799]
global_step=327326, episodic_return=[-445.28162797]
SPS: 775
global_step=328327, episodic_return=[-373.13985083]
global_step=329328, episodic_return=[-378.18431148]
SPS: 775
global_step=330329, episodic_return=[-247.05056623]
global_step=331330, episodic_return=[-366.55348729]
SPS: 775
global_step=332331, episodic_return=[-351.52222127]
global_step=333332, episodic_return=[-301.43679567]
SPS: 775
global_step=334333, episodic_return=[-387.44410649]
global_step=335334, episodic_return=[-361.91704938]
SPS: 775
global_step=336335, episodic_return=[-236.85262769]
global_step=337336, episodic_return=[-284.83490563]
SPS: 775
global_step=338337, episodic_return=[-438.01419626]
global_step=339338, episodic_return=[-371.15462966]
SPS: 775
global_step=340339, episodic_return=[-459.46860193]
global_step=341340, episodic_return=[-331.20275818]
SPS: 775
global_step=342341, episodic_return=[-401.54369987]
global_step=343342, episodic_return=[-340.16977967]
SPS: 775
global_step=344343, episodic_return=[-327.8915344]
global_step=345344, episodic_return=[-388.84955762]
SPS: 776
global_step=346345, episodic_return=[-265.43401612]
global_step=347346, episodic_return=[-365.26859186]
SPS: 776
global_step=348347, episodic_return=[-430.8534438]
global_step=349348, episodic_return=[-336.31512333]
SPS: 776
global_step=350349, episodic_return=[-332.13386982]
global_step=351350, episodic_return=[-403.38478804]
SPS: 776
global_step=352351, episodic_return=[-278.16628046]
global_step=353352, episodic_return=[-364.04954822]
SPS: 776
